Reel ID,Product ID,User ID,Category,Hashtags,Keywords,Visual Features,Likes,Shares,Comments,Purchase Count
reel_1,product_640,user_20,Fashion,"#trending, #shopnow, #discount",affordable,colorful,102,364,102,12
reel_2,product_26,user_138,Beauty,#sale,"popular, affordable",modern,435,4,272,136
reel_3,product_276,user_109,Electronics,"#sale, #new","stylish, exclusive, affordable",vintage,860,118,13,163
reel_4,product_224,user_196,Electronics,"#sale, #shopnow","affordable, popular, exclusive",minimalistic,270,288,158,85
reel_5,product_737,user_72,Fashion,"#trending, #discount","affordable, exclusive, innovative",colorful,106,373,151,89
reel_6,product_677,user_80,Sports,#sale,"stylish, affordable",colorful,71,64,107,57
reel_7,product_893,user_38,Sports,"#sale, #new, #discount","exclusive, popular, innovative",luxury,700,145,187,53
reel_8,product_87,user_25,Sports,"#discount, #sale, #trending","innovative, exclusive, affordable",minimalistic,20,223,97,11
reel_9,product_422,user_170,Beauty,"#trending, #discount, #sale","innovative, affordable",vintage,614,238,130,13
reel_10,product_30,user_91,Home Decor,#sale,"stylish, exclusive, popular",luxury,121,176,292,120
reel_11,product_219,user_133,Home Decor,"#trending, #shopnow",popular,minimalistic,466,266,170,161
reel_12,product_506,user_129,Sports,"#shopnow, #new",exclusive,minimalistic,214,340,182,180
reel_13,product_27,user_120,Sports,"#new, #shopnow, #sale",popular,colorful,330,281,38,120
reel_14,product_199,user_5,Beauty,#sale,"innovative, affordable",modern,458,62,14,19
reel_15,product_650,user_158,Beauty,"#shopnow, #discount","innovative, stylish",minimalistic,87,216,3,74
reel_16,product_545,user_49,Electronics,#sale,exclusive,vintage,372,341,209,143
reel_17,product_221,user_26,Home Decor,"#sale, #discount",stylish,colorful,99,314,160,69
reel_18,product_590,user_113,Fashion,#new,"innovative, stylish, affordable",modern,871,282,15,55
reel_19,product_810,user_14,Electronics,"#shopnow, #discount, #sale",stylish,colorful,663,176,107,100
reel_20,product_7,user_154,Beauty,#sale,"innovative, popular, affordable",vintage,130,460,226,185
reel_21,product_806,user_42,Home Decor,#trending,"exclusive, innovative, stylish",luxury,661,416,169,131
reel_22,product_699,user_44,Sports,"#new, #sale, #trending","innovative, affordable, exclusive",vintage,308,97,33,110
reel_23,product_341,user_174,Electronics,#new,"stylish, popular",colorful,769,104,250,124
reel_24,product_156,user_66,Beauty,"#discount, #shopnow","popular, affordable",modern,343,98,246,131
reel_25,product_958,user_30,Sports,"#new, #sale, #shopnow","innovative, stylish",colorful,491,384,268,19
reel_26,product_337,user_181,Sports,"#discount, #trending, #shopnow","stylish, popular",colorful,413,404,140,137
reel_27,product_93,user_1,Home Decor,"#new, #trending","affordable, stylish",vintage,805,495,273,23
reel_28,product_97,user_172,Sports,"#sale, #new","affordable, innovative",minimalistic,385,310,95,153
reel_29,product_848,user_29,Home Decor,"#discount, #new","stylish, popular",minimalistic,191,5,226,36
reel_30,product_604,user_26,Fashion,#new,exclusive,luxury,955,475,38,53
reel_31,product_808,user_51,Electronics,"#sale, #trending, #new","innovative, popular",minimalistic,276,464,28,102
reel_32,product_730,user_35,Electronics,"#sale, #shopnow, #new",innovative,minimalistic,160,196,244,148
reel_33,product_537,user_133,Beauty,"#shopnow, #discount","popular, innovative, affordable",colorful,459,350,235,37
reel_34,product_974,user_6,Sports,"#trending, #sale, #shopnow","stylish, popular, affordable",colorful,313,132,184,173
reel_35,product_379,user_3,Sports,"#discount, #shopnow, #new","stylish, exclusive",vintage,21,357,271,3
reel_36,product_553,user_158,Fashion,#discount,stylish,colorful,252,258,235,187
reel_37,product_830,user_48,Beauty,"#sale, #discount","affordable, popular, stylish",colorful,747,436,238,56
reel_38,product_619,user_65,Fashion,"#sale, #trending, #shopnow","innovative, stylish",luxury,856,22,265,172
reel_39,product_862,user_35,Electronics,"#trending, #shopnow",popular,minimalistic,560,484,64,19
reel_40,product_578,user_11,Beauty,#trending,"innovative, affordable",colorful,474,52,176,16
reel_41,product_705,user_149,Beauty,#sale,"exclusive, stylish",minimalistic,58,164,2,118
reel_42,product_46,user_106,Sports,"#sale, #discount","popular, exclusive, innovative",colorful,510,201,141,70
reel_43,product_228,user_150,Fashion,#trending,"stylish, innovative",minimalistic,681,457,157,3
reel_44,product_290,user_96,Beauty,"#new, #shopnow, #discount",popular,minimalistic,475,82,145,13
reel_45,product_80,user_156,Beauty,#sale,"popular, stylish, affordable",colorful,699,144,292,2
reel_46,product_233,user_103,Home Decor,"#shopnow, #discount","affordable, exclusive, popular",vintage,975,84,152,79
reel_47,product_102,user_22,Home Decor,"#new, #shopnow, #discount","popular, stylish",modern,782,77,192,185
reel_48,product_278,user_101,Sports,"#sale, #discount","stylish, affordable, popular",colorful,189,456,72,54
reel_49,product_636,user_190,Electronics,#discount,"stylish, popular",luxury,957,365,139,131
reel_50,product_365,user_9,Sports,#trending,"innovative, exclusive",luxury,686,0,186,119
reel_51,product_371,user_157,Fashion,"#shopnow, #sale, #discount","stylish, popular, affordable",modern,957,50,292,23
reel_52,product_210,user_174,Sports,"#sale, #new, #discount",affordable,minimalistic,562,172,60,161
reel_53,product_267,user_105,Sports,"#discount, #new","popular, stylish, affordable",modern,875,204,197,157
reel_54,product_937,user_92,Fashion,"#discount, #shopnow","affordable, popular, stylish",minimalistic,566,259,294,81
reel_55,product_649,user_193,Sports,#trending,"popular, innovative, stylish",modern,243,445,10,146
reel_56,product_610,user_13,Home Decor,"#discount, #trending",innovative,vintage,831,448,61,158
reel_57,product_172,user_96,Electronics,"#shopnow, #discount, #sale",exclusive,vintage,504,368,225,187
reel_58,product_730,user_81,Beauty,"#new, #trending",popular,colorful,130,487,152,59
reel_59,product_164,user_138,Electronics,#discount,"stylish, affordable",minimalistic,484,287,198,146
reel_60,product_380,user_99,Sports,"#new, #sale","exclusive, popular",minimalistic,818,33,51,48
reel_61,product_990,user_182,Home Decor,"#new, #shopnow",stylish,colorful,646,347,259,62
reel_62,product_640,user_15,Beauty,"#discount, #sale","stylish, affordable",luxury,20,94,58,109
reel_63,product_557,user_17,Electronics,#trending,"stylish, popular, exclusive",luxury,840,71,71,149
reel_64,product_685,user_122,Home Decor,"#discount, #new",exclusive,minimalistic,166,38,147,151
